Mood,Contentment,Irritability,Melancholy,Serenity,Anxiety,Optimism,Assertiveness,Empathy
Happy,9,1,1,8,2,9,7,8
Grateful,8,2,1,8,2,9,6,8
Content,8,2,2,8,2,8,6,8
Excited,7,3,1,8,4,9,8,7
Hopeful,7,2,2,7,3,8,7,7
Calm,8,2,2,9,2,8,6,7
Relaxed,8,2,2,9,2,8,5,7
Sad,2,7,9,3,8,2,2,7
Confident,7,3,2,7,3,8,9,6
Energetic,7,3,2,8,4,8,7,6
Surprised,6,3,2,7,4,7,7,6
Anxious,3,7,6,3,9,2,5,6
Lonely,3,6,7,3,7,2,4,6
Stressed,2,8,7,3,9,2,7,5
Disappointed,3,6,7,3,7,2,5,5
Insecure,3,7,6,3,7,3,2,5
Angry,2,9,6,2,9,1,9,4
Irritated,3,8,6,3,8,1,7,4
Frustrated,2,8,6,3,8,1,7,4
Bored,4,6,5,4,4,3,3,4
NULL,,,,,,,,